wave,n_u,temp,dens,val
3890.175483384695,8,500.0,100000000000.0,4.884e-23
3890.175483384695,8,500.0,1000000000000.0,1.103e-22
3890.175483384695,8,500.0,10000000000000.0,1.324e-22
3890.175483384695,8,500.0,100000000000000.0,1.356e-22
3890.175483384695,8,30000.0,100.0,4.795e-27
3890.175483384695,8,30000.0,1000.0,4.795e-27
3890.175483384695,8,30000.0,10000.0,4.795e-27
3890.175483384695,8,30000.0,100000.0,4.804e-27
3890.175483384695,8,30000.0,1000000.0,4.887e-27
3890.175483384695,8,30000.0,10000000.0,5.067e-27
3890.175483384695,8,30000.0,100000000.0,5.051e-27
3890.175483384695,8,30000.0,1000000000.0,5.15e-27
3890.175483384695,8,30000.0,10000000000.0,5.616e-27
3890.175483384695,8,30000.0,100000000000.0,6.076e-27
3890.175483384695,8,30000.0,1000000000000.0,6.222e-27
3890.175483384695,8,30000.0,10000000000000.0,6.251e-27
3890.175483384695,8,30000.0,100000000000000.0,6.255e-27
3890.175483384695,8,7500.0,100.0,1.638e-26
3890.175483384695,8,7500.0,1000.0,1.644e-26
3890.175483384695,8,7500.0,10000.0,1.655e-26
3890.175483384695,8,7500.0,100000.0,1.681e-26
3890.175483384695,8,7500.0,1000000.0,1.772e-26
3890.175483384695,8,7500.0,10000000.0,2.021e-26
3890.175483384695,8,7500.0,100000000.0,2.379e-26
3890.175483384695,8,7500.0,1000000000.0,2.864e-26
3890.175483384695,8,7500.0,10000000000.0,4.191e-26
3890.175483384695,8,7500.0,100000000000.0,5.743e-26
3890.175483384695,8,7500.0,1000000000000.0,6.273e-26
3890.175483384695,8,7500.0,10000000000000.0,6.38e-26
3890.175483384695,8,7500.0,100000000000000.0,6.399e-26
3890.175483384695,8,15000.0,100.0,9.158e-27
3890.175483384695,8,15000.0,1000.0,9.17e-27
3890.175483384695,8,15000.0,10000.0,9.191e-27
3890.175483384695,8,15000.0,100000.0,9.252e-27
3890.175483384695,8,15000.0,1000000.0,9.532e-27
3890.175483384695,8,15000.0,10000000.0,1.024e-26
3890.175483384695,8,15000.0,100000000.0,1.1e-26
3890.175483384695,8,15000.0,1000000000.0,1.21e-26
3890.175483384695,8,15000.0,10000000000.0,1.502e-26
3890.175483384695,8,15000.0,100000000000.0,1.802e-26
3890.175483384695,8,15000.0,1000000000000.0,1.898e-26
3890.175483384695,8,15000.0,10000000000000.0,1.917e-26
3890.175483384695,8,15000.0,100000000000000.0,1.92e-26
3890.175483384695,8,20000.0,100.0,7.058e-27
3890.175483384695,8,20000.0,1000.0,7.062e-27
3890.175483384695,8,20000.0,10000.0,7.07e-27
3890.175483384695,8,20000.0,100000.0,7.101e-27
3890.175483384695,8,20000.0,1000000.0,7.27e-27
3890.175483384695,8,20000.0,10000000.0,7.673e-27
